Seconds,Milliseconds,Cover,MemCover
20,20037,0,0
30,30037,4852,29574
40,40037,6426,50298
50,50038,8226,66293
60,60039,11031,111653
70,70040,12646,144139
80,80040,13788,157674
90,90040,15120,184018
100,100040,15939,206289
110,110041,16096,207826
120,120041,16700,224361
130,130042,17429,248858
140,140042,17967,275863
150,150042,18298,295907
160,160043,18460,306305
170,170043,18694,322025
180,180043,18873,331735
190,190044,19294,344839
200,200044,19478,352326
210,210044,19864,367853
220,220045,19977,374518
230,230045,20096,381890
240,240045,20286,384862
250,250045,20384,392178
260,260046,20596,405869
270,270046,20779,420018
280,280046,21097,430801
290,290047,21133,438658
300,300047,21304,450365
310,310047,21360,457688
320,320048,21360,458315
330,330048,21367,461802
340,340049,21367,466405
350,350049,21369,471277
360,360049,21369,472390
370,370050,21369,475150
380,380050,21369,476640
390,390050,21369,478150
400,400051,21405,480665
410,410051,21418,482456
420,420051,21418,482456
430,430052,21534,486203
440,440052,21553,489943
450,450052,21606,494243
460,460052,21626,497205
470,470053,21636,499174
480,480053,21674,502436
490,490053,21675,503551
500,500053,21676,503897
510,510053,21710,507961
520,520060,21714,509392
530,530060,21716,509697
540,540060,21760,513707
550,550061,21763,514837
560,560061,21781,518320
570,570061,21808,521308
580,580061,21808,521308
590,590061,21916,522153
600,600062,21975,522705
610,610062,21988,525751
620,620063,22009,529086
630,630063,22405,535637
640,640063,22459,540873
650,650064,22496,543270
660,660064,22496,543270
670,670064,22519,544368
680,680064,22565,549186
690,690065,22566,551190
700,700065,22607,553674
710,710065,22899,559396
720,720065,22925,561114
730,730066,22969,563771
740,740066,23014,566919
750,750066,23029,568736
760,760067,23029,568736
770,770067,23039,569802
780,780067,23159,576498
790,790067,23169,578819
800,800067,23175,580706
810,810067,23212,583305
820,820068,23280,584794
830,830068,23314,586366
840,840068,23340,587633
850,850074,23368,590084
860,860074,23375,591947
870,870074,23382,593524
880,880075,23382,593524
890,890075,23386,594962
900,900076,23402,598423
910,910082,23437,602547
920,920082,23491,607962
930,930082,23549,612298
940,940082,23565,613378
950,950083,23565,613378
960,960083,23565,613378
970,970084,23593,614723
980,980084,23606,618456
990,990084,23628,620243
1000,1000084,23628,620243
1010,1010084,23628,620243
1020,1020085,23630,621121
1030,1030086,23630,621121
1040,1040087,23630,621121
1050,1050088,23630,621121
1060,1060088,23656,622613
1070,1070089,23695,625063
1080,1080090,23737,626671
1090,1090091,23757,629708
1100,1100091,23818,632251
1110,1110091,23882,634788
1120,1120091,23923,636261
1130,1130092,23925,637896
1140,1140092,23925,637896
1150,1150092,23944,641029
1160,1160092,23968,645762
1170,1170092,23996,648116
1180,1180092,24525,663292
1190,1190103,24531,665561
1200,1200103,24531,665561
1210,1210103,24544,667507
1220,1220103,24548,668341
1230,1230104,24553,670464
1240,1240104,24645,675179
1250,1250105,24697,678733
1260,1260105,24697,678733
1270,1270105,24710,679242
1280,1280105,25650,681996
1290,1290105,25650,681996
1300,1300105,25650,681996
1310,1310105,25663,682587
1320,1320106,25663,682587
1330,1330106,25723,683156
1340,1340107,25772,685790
1350,1350107,25774,687126
1360,1360107,25779,688458
1370,1370107,25787,690639
1380,1380108,25796,693345
1390,1390108,25797,694031
1400,1400108,25806,694420
1410,1410109,25807,696723
1420,1420110,25807,696723
1430,1430110,25837,701013
1440,1440110,25840,702012
1450,1450111,25868,706855
1460,1460112,25926,711429
1470,1470112,26057,715820
1480,1480112,26059,716940
1490,1490112,26070,719010
1500,1500113,26122,723530
1510,1510113,26181,726436
1520,1520114,26232,731501
1530,1530114,26296,735492
1540,1540114,26296,735492
1550,1550115,26298,736457
1560,1560115,26818,741517
1570,1570116,26841,747019
1580,1580116,26878,749959
1590,1590116,26878,749959
1600,1600116,26902,752636
1610,1610117,26924,755659
1620,1620117,26962,758822
1630,1630117,26975,761323
1640,1640117,26986,763261
1650,1650118,26986,763261
1660,1660118,26986,763261
1670,1670118,27032,765248
